name,translated name,priority,type,subtype,operator,lat,lon,source
Національний інститут раку,National Cancer Institute,Strategic,hospital,amenity=hospital,МОЗ України,50.38878068,30.48483541,https://ukranews.com/en/news/1155557-five-medical-facilities-damaged-in-massive-attack-on-kyiv
Інститут отоларингології,Institute of Otolaryngology,Strategic,hospital,amenity=hospital,,50.45556085,30.45953971,
Київська міська клінічна лікарня №14,Kyiv City Clinical Hospital No. 14,Strategic,hospital,amenity=hospital,,50.45688708,30.45826298,
Київська обласна клінічна лікарня №1,Kyiv Regional Clinical Hospital No. 1,Strategic,hospital,amenity=hospital,,50.47292868,30.4681758,
Всеукраїнський центр материнства та дитинства,All-Ukrainian Center for Motherhood and Childhood,Strategic,hospital,amenity=hospital,НАМН України,50.46877879,30.47496727,
Університетська клініка КНУ,University Clinic of KNU,Strategic,hospital,amenity=hospital,,50.38925305,30.474392,
Київська міська дитяча клінічна інфекційна лікарня,Kyiv City Children's Clinical Infectious Diseases Hospital,Strategic,hospital,amenity=hospital,,50.46234271,30.45743787,
Центр інфекційних уражень нервової системи,Center for Infectious Diseases of the Nervous System,Strategic,hospital,amenity=hospital,Інститут епідеміології та інфекційних хвороб ім. Л.В.Громашевського НАМН України,50.510075,30.43994347,
"Територіальне медичне об'єднання ""Фтизіатрія""","Territorial Medical Association ""Phthisiology""",Strategic,hospital,amenity=hospital,,50.3918614,30.48704735,
Дитяча клінічна лікарня №8,Children's Clinical Hospital No. 8,Strategic,hospital,amenity=hospital,,50.46616466,30.4756655,
Святошинський психоневрологічний інтернат для жінок,Svyatoshyn Psychoneurological Boarding School for Women,Strategic,hospital,amenity=hospital,,50.44988348,30.37014555,
Оберіг,Amulet,Strategic,hospital,amenity=hospital,,50.45693823,30.45815675,
Клініка Варта,Clinic Warta,Strategic,hospital,amenity=hospital,,50.3896242,30.4832194,
Психолог Олексій Шумський,Psychologist Oleksiy Shumsky,Strategic,hospital,amenity=hospital,,50.4684067,30.5132534,
Оберіг,Amulet,Strategic,hospital,amenity=hospital,,50.4585159,30.4582577,
Станція теплопостачання №2,Heat supply station No. 2,Strategic,plant,power=plant,,50.4811147,30.51404907,
