name,translated name,priority,type,subtype,operator,lat,lon,Links
Дитяча клінічна лікарня № 9,Children's Clinical Hospital No. 9,Strategic,hospital,amenity=hospital,,50.48543899,30.46992573,
Київська міська клінічна лікарня №5,Kyiv City Clinical Hospital No. 5,Strategic,hospital,amenity=hospital,,50.45019011,30.37632617,
Святошинська поліція охорони,Svyatoshyn security police,Strategic,police,amenity=police,,50.45060201,30.36581623,
Національний науковий центр радіаційної медицини,National Research Center for Radiation Medicine,Strategic,hospital,amenity=hospital,,50.45332889,30.36196061,
Інститут нейрохірургії ім. А.П. Ромоданова,A.P. Romodanov Institute of Neurosurgery,Strategic,hospital,amenity=hospital,НАМН України,50.46750987,30.47951066,
Територіальне медичне об'єднання МВС України по місту Києву,Territorial medical association of the Ministry of Internal Affairs of Ukraine in the city of Kyiv,Strategic,hospital,amenity=hospital,МВС України,50.46969919,30.47712403,
Управління медичних послуг та реабілітації,Department of Medical Services and Rehabilitation,Strategic,hospital,amenity=hospital,"Завод ""Артем""",50.46120323,30.47493834,
Центральний госпіталь МВС України,Central Hospital of the Ministry of Internal Affairs of Ukraine,Strategic,hospital,amenity=hospital,,50.45975802,30.47918841,
Клінічна лікарня №15 Подільського району,Clinical Hospital No. 15 of Podilskyi District,Strategic,hospital,amenity=hospital,,50.46512609,30.52153208,
Київська міська клінічна лікарня №10,Kyiv City Clinical Hospital No. 10,Strategic,hospital,amenity=hospital,,50.39912916,30.51381193,
ВДАІ Шевченківського РУ ГУМВС,State Traffic Inspectorate of Shevchenkivskyi Regional Department of the Ministry of Internal Affairs,Strategic,police,amenity=police,ВДАІ Шевченківського РУ ГУМВС,50.4657159,30.50523643,
Київська міська туберкульозна лікарня №1,Kyiv City Tuberculosis Hospital No. 1,Strategic,hospital,amenity=hospital,,50.41658372,30.66442785,
Київська міська клінічна лікарня №1,Kyiv City Clinical Hospital No. 1,Strategic,hospital,amenity=hospital,,50.4148655,30.66418453,
Клініка судинних інновацій Істина Veritas,Veritas Vascular Innovation Clinic Truth,Strategic,hospital,amenity=hospital,,50.39031233,30.46415171,
Громадська організація «Київська онкологічна асоціація»,"Public organization ""Kyiv Oncology Association""",Strategic,hospital,amenity=hospital,,50.45103489,30.36182306,
Міська наркологічна лікарня «Соціотерапія»,"City Narcological Hospital ""Sociotherapy""",Strategic,hospital,amenity=hospital,,50.40226743,30.51243547,
Оболонський РВ Управління поліції охорони,Obolonsky Regional Police Department,Strategic,police,amenity=police,,50.49788373,30.51140705,
Пологовий будинок №2,Maternity hospital No. 2,Strategic,hospital,amenity=hospital,,50.49953455,30.44439733,
Київська міська психіатрична лікарня № 1 імені І. П. Павлова,Kyiv City Psychiatric Hospital No. 1 named after I. P. Pavlov,Strategic,hospital,amenity=hospital,,50.48212621,30.4702887,
Центральна поліклініка Голосіївського району,Central Polyclinic of Holosiivskyi District,Strategic,hospital,amenity=hospital,,50.39844122,30.5120546,
Київська міська клінічна лікарня №7 Відділ травматології та ортопедії,Kyiv City Clinical Hospital No. 7 Department of Traumatology and Orthopedics,Strategic,hospital,amenity=hospital,,50.4501302,30.35292176,https://www.reutersconnect.com/item/outpatient-clinic-serving-20000-patients-damaged-in-russian-attack-on-kyiv/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX01UMVNJUEEwMDBaOTExWFQ
Шевченківське районне управління ГУ ДСНС України,Shevchenko District Department of the State Emergency Service of Ukraine,Strategic,fire_station,amenity=fire_station,ГУ ДСНС України,50.46055435,30.4491554,
Тролейбусне депо №2,Trolleybus depot No. 2,Operational,None,amenity=None,,50.46085614,30.4445293,
КП Київпастранс,Kyivpastrans KP,Operational,None,amenity=None,,50.46196602,30.44454628,
"Шкіряний завод ""Чинбар""","""Chinbar"" Leather Factory",Operational,None,amenity=None,"Публічне Акціонерне Товариство ""Чинбар""",50.4941675,30.47173486,
"Завод ""Артем""",Artem Plant,Operational,None,amenity=None,,50.46267112,30.48471536,
Ремонтна ділянка травмаю,Injury repair area,Operational,None,amenity=None,,50.47422751,30.49248843,
Дослідний завод зварювальних матеріалів,Welding materials research plant,Operational,None,amenity=None,,50.46517844,30.44818247,
"ТОВ ""Клемпостав-Україна""","LLC ""Klempostav-Ukraine""",Operational,None,amenity=None,,50.43942274,30.68621544,
Експериментальний завод медичних препаратів,Experimental plant for medical preparations,Operational,None,amenity=None,Інститут біоорганічної хімії та нафтохімії,50.43538739,30.68407897,
Електронприлад,Electronic device,Operational,None,amenity=None,,50.45622826,30.47188861,
Маріїнська,Mariinskaya,Operational,None,amenity=None,Київські електромережі,50.45581298,30.47035842,
Пивзавод на Подолі,Brewery in Podil,Operational,None,amenity=None,,50.47171355,30.49783995,
Зеленбуд Дарницького району,Green building of Darnytsia district,Operational,None,amenity=None,,50.42153622,30.66080678,
Київський домобудівельний комбінат №135,Kyiv House-Building Plant No. 135,Operational,None,amenity=None,,50.42522032,30.69931201,
Київська макаронна фабрика,Kyiv Pasta Factory,Operational,None,amenity=None,,50.48977749,30.47001732,
РП-577,RP-577,Operational,None,amenity=None,Київенерго,50.47048206,30.50858846,
Вишгородська ТП-5147,Vyshgorodska TP-5147,Operational,None,amenity=None,,50.50631712,30.44608754,
Брест-Литовська,Brest-Litovsk,Operational,None,amenity=None,Київські електромережі,50.43742002,30.37110694,
Лукьянiвська тягова пiдстанцiя,Lukyanivka traction substation,Operational,None,amenity=None,КП «Київпастранс»,50.4610158,30.48037046,
ТП-5860,TP-5860,Operational,None,amenity=None,,50.43324614,30.3753313,
ТП-3550,TP-3550,Operational,None,amenity=None,Київенерго,50.49663116,30.51126106,
ТП-3566,TP-3566,Operational,None,amenity=None,Київенерго,50.49757584,30.50975296,
